0,1,2,3
0.12033234,0.118387654,0.23312834,0.21948716
0.12832943,0.12666582,0.24022906,0.22239792
0.13593829,0.13490865,0.24725479,0.22549413
0.1428904,0.14212558,0.2537763,0.22822933
0.14964262,0.14934492,0.2602445,0.23108944
0.15629834,0.15694195,0.26704177,0.23436391
0.1632357,0.16483024,0.2738077,0.23748988
0.17127791,0.17316154,0.2809078,0.24034962
0.17690781,0.17907232,0.28583616,0.24234208
0.18045211,0.18305224,0.28914526,0.24378872
0.1821787,0.1858257,0.29201496,0.24568963
0.18179923,0.18598136,0.2926079,0.24627364
0.17896962,0.18370435,0.29113793,0.24612305
0.17485273,0.18011463,0.28845328,0.2454991
0.17146406,0.17665258,0.28612226,0.24491304
0.16866055,0.17368808,0.28398287,0.24423692
0.16577709,0.17087945,0.28186208,0.24369502
0.16422018,0.16872734,0.2800408,0.24274006
0.16489762,0.16876215,0.27941233,0.24183342
0.1642369,0.16835657,0.27864462,0.24147215
0.16191512,0.16639262,0.27692497,0.24089488
0.15943944,0.16428399,0.27488708,0.24015695
0.15796655,0.16316217,0.27367502,0.23982629
0.15727493,0.16246828,0.27269202,0.23926497
0.15626127,0.16160667,0.2715482,0.23877889
0.15467733,0.16035935,0.270378,0.23850083
0.15452534,0.16005439,0.27001595,0.23824653
0.15429413,0.15977237,0.2698905,0.23827827
0.15592954,0.16126096,0.2713408,0.23897153
0.15974817,0.16510978,0.27480954,0.24047011
0.16460553,0.16956201,0.27878192,0.24171364
0.17163527,0.17586184,0.28406614,0.24325654
0.17674059,0.1816828,0.28911498,0.24573562
0.17824921,0.18504554,0.29232186,0.24824598
0.17977145,0.18771675,0.29496133,0.25010237
0.18122813,0.19041684,0.2977635,0.25216576
0.18110168,0.19164538,0.29937506,0.25389102
0.1807634,0.19257206,0.3009683,0.25567335
0.17970595,0.19250381,0.30194116,0.25718093
0.17497012,0.18924922,0.30029574,0.25786892
0.17053631,0.1855093,0.2982391,0.2579651
0.16693807,0.1820082,0.29585034,0.25745067
0.1645822,0.18018395,0.29466254,0.25753346
0.16368645,0.17982212,0.2945672,0.25792035
0.16177642,0.17854506,0.29346687,0.25791007
0.16113213,0.17855793,0.2933262,0.2583241
0.16259497,0.18037254,0.29460752,0.25901937
0.16421351,0.18265617,0.29684463,0.26052168
0.16578013,0.18522546,0.29979485,0.26272184
0.1692299,0.19002181,0.30542994,0.2664796
0.17282909,0.19481501,0.31061906,0.26976064
0.1788837,0.20198154,0.3173228,0.27343127
0.186838,0.21223268,0.3270101,0.2791989
0.19607008,0.22328696,0.33673245,0.2842311
0.20680243,0.2360022,0.3478849,0.28989244
0.2184802,0.24969694,0.35984123,0.295943
0.23026592,0.26365495,0.37206978,0.30219325
0.24194634,0.27802628,0.38521916,0.30935234
0.25196996,0.291042,0.3974371,0.3163881
0.2599849,0.3021662,0.40804678,0.3228593
0.26398936,0.30949324,0.41522884,0.32795915
0.26382604,0.31144437,0.4174251,0.33015195
0.26184413,0.31063235,0.41678315,0.33047035
