,AGG,GLD,SPY,BTC
AGG,1.0,0.47925012373546166,0.26673634565759013,0.1563243963162382
GLD,0.47925012373546166,1.0,0.1533491806870986,0.16881393569392347
SPY,0.26673634565759013,0.1533491806870986,1.0,0.5011215327990174
BTC,0.1563243963162382,0.16881393569392347,0.5011215327990174,1.0
