Date,AGG,GLD,SPY,BTC
2021-12-13,104.48664855957031,167.0,446.4546203613281,46737.48046875
2021-12-14,104.2861099243164,165.44000244140625,443.38299560546875,46612.6328125
2021-12-15,104.20404052734375,166.14999389648438,450.3109436035156,48896.72265625
2021-12-16,104.34732055664062,168.16000366210938,446.33984375,47665.42578125
2021-12-17,104.47505950927734,167.8000030517578,441.5895080566406,46202.14453125
2021-12-20,104.3199691772461,167.08999633789062,436.8939208984375,46880.27734375
2021-12-21,104.23782348632812,167.02000427246094,444.6526794433594,48936.61328125
2021-12-22,104.3290786743164,168.58999633789062,449.0986022949219,48628.51171875
2021-12-23,104.20133209228516,168.97000122070312,451.89300537109375,50784.5390625
2021-12-27,104.25608825683594,169.3699951171875,458.2882080078125,50640.41796875
2021-12-28,104.2104721069336,168.63999938964844,457.9136962890625,47588.85546875
2021-12-29,103.90023803710938,168.58999633789062,458.4994812011719,46444.7109375
2021-12-30,104.12832641601562,169.8000030517578,457.2319641113281,47178.125
2021-12-31,104.09184265136719,170.9600067138672,456.0796813964844,46306.4453125
2022-01-03,103.38011932373047,168.3300018310547,458.7203369140625,46458.1171875
2022-01-04,103.37100219726562,169.57000732421875,458.566650390625,45897.57421875
2022-01-05,103.0516357421875,169.05999755859375,449.7611999511719,43569.00390625
2022-01-06,102.94215393066406,166.99000549316406,449.3386535644531,43160.9296875
2022-01-07,102.64104461669922,167.75,447.5622253417969,41557.90234375
2022-01-10,102.54981994628906,168.25999450683594,447.00531005859375,41821.26171875
2022-01-11,102.74141693115234,170.2899932861328,451.07672119140625,42735.85546875
2022-01-12,102.74141693115234,170.74000549316406,452.2962951660156,43949.1015625
2022-01-13,102.92389678955078,170.16000366210938,446.0642395019531,42591.5703125
2022-01-14,102.34905242919922,169.6699981689453,446.2467346191406,43099.69921875
2022-01-18,101.72859954833984,169.38999938964844,438.34381103515625,42375.6328125
2022-01-19,101.9476089477539,172.0800018310547,433.7922668457031,41744.328125
2022-01-20,102.00232696533203,171.64999389648438,428.990966796875,40680.41796875
2022-01-21,102.4038314819336,171.08999633789062,420.5696716308594,36457.31640625
2022-01-24,102.28518676757812,172.02999877929688,422.3557434082031,36654.328125
2022-01-25,102.184814453125,172.5800018310547,417.1991882324219,36954.00390625
2022-01-26,101.6099853515625,169.7899932861328,416.1524963378906,36852.12109375
2022-01-27,101.9476089477539,167.60000610351562,414.0975341796875,37138.234375
2022-01-28,102.02059936523438,167.10000610351562,424.3818359375,37784.33203125
2022-01-31,102.011474609375,168.08999633789062,432.025390625,38483.125
2022-02-01,101.97582244873047,168.22999572753906,434.9446105957031,38743.2734375
2022-02-02,102.08549499511719,168.83999633789062,439.169677734375,36952.984375
2022-02-03,101.6742935180664,168.60000610351562,428.84698486328125,37154.6015625
2022-02-04,101.03465270996094,168.86000061035156,430.863525390625,41500.875
2022-02-07,101.12603759765625,170.11000061035156,429.48077392578125,43840.28515625
2022-02-08,100.81534576416016,170.6300048828125,433.0144958496094,44118.4453125
2022-02-09,100.87931823730469,171.2100067138672,439.3521423339844,44338.796875
2022-02-10,99.947265625,170.55999755859375,431.45892333984375,43565.11328125
2022-02-11,100.60518646240234,173.80999755859375,422.9510498046875,42407.9375
2022-02-14,100.02037811279297,174.74000549316406,421.56829833984375,42586.91796875
2022-02-15,99.85588073730469,173.0800018310547,428.3669128417969,44575.203125
2022-02-16,99.97470092773438,174.86000061035156,428.84698486328125,43961.859375
2022-02-17,100.18484497070312,177.25,419.68621826171875,40538.01171875
2022-02-18,100.3949966430664,177.1199951171875,416.9687194824219,40030.9765625
2022-02-22,100.28536224365234,177.49000549316406,412.49395751953125,38286.02734375
2022-02-23,99.83763122558594,178.2899932861328,405.1769104003906,37296.5703125
2022-02-24,100.02037811279297,177.13999938964844,411.27447509765625,38332.609375
2022-02-25,100.12088012695312,176.5500030517578,420.3487854003906,39214.21875
2022-02-28,100.84276580810547,178.3800048828125,419.2733459472656,43193.234375
2022-03-01,101.41104125976562,181.6199951171875,412.88763427734375,44354.63671875
2022-03-02,100.1939468383789,179.72999572753906,420.4832763671875,43924.1171875
2022-03-03,100.53253936767578,180.8000030517578,418.389892578125,42451.7890625
2022-03-04,100.93518829345703,183.67999267578125,414.9906311035156,39137.60546875
2022-03-07,100.34952545166016,186.41000366210938,402.75701904296875,38062.0390625
2022-03-08,99.99263763427734,191.50999450683594,399.7034606933594,38737.26953125
2022-03-09,99.78216552734375,185.82000732421875,410.4198913574219,41982.92578125
2022-03-10,99.22396087646484,186.39999389648438,408.5665588378906,39437.4609375
2022-03-11,99.2056655883789,185.08999633789062,403.3716125488281,38794.97265625
2022-03-14,98.24481964111328,182.3000030517578,400.4236755371094,39666.75390625
2022-03-15,98.46440887451172,178.88999938964844,409.2291564941406,39338.78515625
2022-03-16,98.53761291503906,180.00999450683594,418.30340576171875,41143.9296875
2022-03-17,98.70236206054688,180.88999938964844,423.5368347167969,40951.37890625
2022-03-18,98.92198181152344,179.3000030517578,428.17572021484375,41801.15625
2022-03-21,97.95195770263672,180.6699981689453,428.050537109375,41077.99609375
2022-03-22,97.68657684326172,179.36000061035156,433.0592956542969,42358.80859375
2022-03-23,98.08922576904297,181.80999755859375,427.48223876953125,42892.95703125
2022-03-24,97.86961364746094,183.1300048828125,433.92620849609375,43960.93359375
2022-03-25,97.09178924560547,182.3800048828125,436.0452880859375,44348.73046875
2022-03-28,97.3297119140625,179.05999755859375,439.1469421386719,47128.00390625
2022-03-29,97.7872543334961,179.13999938964844,444.5795593261719,47465.73046875
