Date,AGG,GLD,SPY,BTC
2021-12-13,104.48663330078125,167.0,446.45465087890625,46737.48046875
2021-12-14,104.2861099243164,165.44000244140625,443.3830261230469,46612.6328125
2021-12-15,104.20406341552734,166.14999389648438,450.3109436035156,48896.72265625
2021-12-16,104.34732818603516,168.16000366210938,446.3398132324219,47665.42578125
2021-12-17,104.47510528564453,167.8000030517578,441.5895080566406,46202.14453125
2021-12-20,104.31996154785156,167.08999633789062,436.8938903808594,46880.27734375
2021-12-21,104.23783111572266,167.02000427246094,444.6526184082031,48936.61328125
2021-12-22,104.32905578613281,168.58999633789062,449.0986328125,48628.51171875
2021-12-23,104.20134735107422,168.97000122070312,451.89300537109375,50784.5390625
2021-12-27,104.25608825683594,169.3699951171875,458.2882080078125,50640.41796875
2021-12-28,104.21045684814453,168.63999938964844,457.9137268066406,47588.85546875
2021-12-29,103.90023803710938,168.58999633789062,458.49945068359375,46444.7109375
2021-12-30,104.12834930419922,169.8000030517578,457.23199462890625,47178.125
2021-12-31,104.09185028076172,170.9600067138672,456.07958984375,46306.4453125
2022-01-03,103.3801498413086,168.3300018310547,458.7203063964844,46458.1171875
2022-01-04,103.37100982666016,169.57000732421875,458.5666809082031,45897.57421875
2022-01-05,103.05165100097656,169.05999755859375,449.76116943359375,43569.00390625
2022-01-06,102.94214630126953,166.99000549316406,449.33868408203125,43160.9296875
2022-01-07,102.64104461669922,167.75,447.5622253417969,41557.90234375
2022-01-10,102.5498046875,168.25999450683594,447.0052795410156,41821.26171875
2022-01-11,102.74140167236328,170.2899932861328,451.07672119140625,42735.85546875
2022-01-12,102.74140167236328,170.74000549316406,452.2962341308594,43949.1015625
2022-01-13,102.92390441894531,170.16000366210938,446.0642395019531,42591.5703125
2022-01-14,102.34907531738281,169.6699981689453,446.2466735839844,43099.69921875
2022-01-18,101.72860717773438,169.38999938964844,438.3438415527344,42375.6328125
2022-01-19,101.9476089477539,172.0800018310547,433.7922668457031,41744.328125
2022-01-20,102.00236511230469,171.64999389648438,428.99102783203125,40680.41796875
2022-01-21,102.4038314819336,171.08999633789062,420.56964111328125,36457.31640625
2022-01-24,102.28519439697266,172.02999877929688,422.35577392578125,36654.328125
2022-01-25,102.18482208251953,172.5800018310547,417.19915771484375,36954.00390625
2022-01-26,101.6099853515625,169.7899932861328,416.1524963378906,36852.12109375
2022-01-27,101.9476089477539,167.60000610351562,414.0975646972656,37138.234375
2022-01-28,102.02058410644531,167.10000610351562,424.3818664550781,37784.33203125
2022-01-31,102.01146697998047,168.08999633789062,432.0254211425781,38483.125
2022-02-01,101.97584533691406,168.22999572753906,434.944580078125,38743.2734375
2022-02-02,102.08548736572266,168.83999633789062,439.1696472167969,36952.984375
2022-02-03,101.67428588867188,168.60000610351562,428.8470153808594,37154.6015625
2022-02-04,101.03462982177734,168.86000061035156,430.8635559082031,41500.875
2022-02-07,101.1259994506836,170.11000061035156,429.4807434082031,43840.28515625
2022-02-08,100.81533813476562,170.6300048828125,433.0144348144531,44118.4453125
2022-02-09,100.87930297851562,171.2100067138672,439.3521423339844,44338.796875
2022-02-10,99.94725799560547,170.55999755859375,431.4588928222656,43565.11328125
2022-02-11,100.60518646240234,173.80999755859375,422.95111083984375,42407.9375
2022-02-14,100.02040100097656,174.74000549316406,421.5683288574219,42586.91796875
2022-02-15,99.85588836669922,173.0800018310547,428.3668518066406,44575.203125
2022-02-16,99.97471618652344,174.86000061035156,428.8470153808594,43961.859375
2022-02-17,100.18484497070312,177.25,419.68621826171875,40538.01171875
2022-02-18,100.3949966430664,177.1199951171875,416.96875,40030.9765625
2022-02-22,100.28535461425781,177.49000549316406,412.4939270019531,38286.02734375
2022-02-23,99.8376235961914,178.2899932861328,405.1769104003906,37296.5703125
2022-02-24,100.02040100097656,177.13999938964844,411.2744140625,38332.609375
2022-02-25,100.12088775634766,176.5500030517578,420.3487548828125,39214.21875
2022-02-28,100.84278106689453,178.3800048828125,419.2733154296875,43193.234375
2022-03-01,101.41104125976562,181.6199951171875,412.8876647949219,44354.63671875
2022-03-02,100.19397735595703,179.72999572753906,420.48321533203125,43924.1171875
2022-03-03,100.53253936767578,180.8000030517578,418.389892578125,42451.7890625
2022-03-04,100.93519592285156,183.67999267578125,414.9906311035156,39137.60546875
2022-03-07,100.34951782226562,186.41000366210938,402.7569885253906,38062.0390625
2022-03-08,99.99262237548828,191.50999450683594,399.7034606933594,38737.26953125
2022-03-09,99.78217315673828,185.82000732421875,410.4198303222656,41982.92578125
2022-03-10,99.22396087646484,186.39999389648438,408.5665283203125,39437.4609375
2022-03-11,99.20565032958984,185.08999633789062,403.37158203125,38794.97265625
2022-03-14,98.24480438232422,182.3000030517578,400.423583984375,39666.75390625
2022-03-15,98.46441650390625,178.88999938964844,409.2291564941406,39338.78515625
2022-03-16,98.53763580322266,180.00999450683594,418.3034362792969,41143.9296875
2022-03-17,98.70234680175781,180.88999938964844,423.536865234375,40951.37890625
2022-03-18,98.92198181152344,179.3000030517578,428.17572021484375,41801.15625
2022-03-21,97.95197296142578,180.6699981689453,428.0505676269531,41077.99609375
2022-03-22,97.68658447265625,179.36000061035156,433.0592956542969,42358.80859375
2022-03-23,98.08924865722656,181.80999755859375,427.48223876953125,42892.95703125
2022-03-24,97.8696060180664,183.1300048828125,433.9261779785156,43960.93359375
2022-03-25,97.09180450439453,182.3800048828125,436.0452880859375,44348.73046875
2022-03-28,97.3297119140625,179.05999755859375,439.14697265625,47128.00390625
2022-03-29,97.7872543334961,179.13999938964844,444.57952880859375,47465.73046875
