Date,AGG,GLD,SPY,BTC-USD
2021-12-02,104.79800415039062,165.24000549316406,437.6799621582031,56477.81640625
2021-12-03,105.2186279296875,166.6300048828125,433.8715515136719,53598.24609375
2021-12-06,104.85289001464844,166.22000122070312,439.01007080078125,50582.625
2021-12-07,104.68830871582031,166.80999755859375,448.0909423828125,50700.0859375
2021-12-08,104.41397094726562,166.89999389648438,449.2774353027344,50504.796875
2021-12-09,104.42312622070312,165.8800048828125,446.2441711425781,47672.12109375
2021-12-10,104.45053100585938,166.5800018310547,450.44488525390625,47243.3046875
2021-12-13,104.81629180908203,167.0,446.45465087890625,46737.48046875
2021-12-14,104.61514282226562,165.44000244140625,443.383056640625,46612.6328125
2021-12-15,104.5328369140625,166.14999389648438,450.3108825683594,48896.72265625
2021-12-16,104.67655944824219,168.16000366210938,446.33984375,47665.42578125
2021-12-17,104.8046875,167.8000030517578,441.5894775390625,46202.14453125
2021-12-20,104.64908599853516,167.08999633789062,436.89385986328125,46880.27734375
2021-12-21,104.56670379638672,167.02000427246094,444.6526794433594,48936.61328125
2021-12-22,104.65825653076172,168.58999633789062,449.0986328125,48628.51171875
2021-12-23,104.53010559082031,168.97000122070312,451.8929748535156,50784.5390625
2021-12-27,104.58502197265625,169.3699951171875,458.28826904296875,50640.41796875
2021-12-28,104.53926086425781,168.63999938964844,457.91375732421875,47588.85546875
2021-12-29,104.22804260253906,168.58999633789062,458.49945068359375,46444.7109375
2021-12-30,104.4568862915039,169.8000030517578,457.23199462890625,47178.125
2021-12-31,104.4202651977539,170.9600067138672,456.0796203613281,46306.4453125
2022-01-03,103.70629119873047,168.3300018310547,458.7203063964844,46458.1171875
2022-01-04,103.69715881347656,169.57000732421875,458.5666809082031,45897.57421875
2022-01-05,103.37679290771484,169.05999755859375,449.76123046875,43569.00390625
2022-01-06,103.26696014404297,166.99000549316406,449.3387451171875,43160.9296875
2022-01-07,102.96488189697266,167.75,447.562255859375,41557.90234375
2022-01-10,102.87334442138672,168.25999450683594,447.00531005859375,41821.26171875
2022-01-11,103.0655746459961,170.2899932861328,451.0767517089844,42735.85546875
2022-01-12,103.0655746459961,170.74000549316406,452.2962341308594,43949.1015625
2022-01-13,103.24866485595703,170.16000366210938,446.064208984375,42591.5703125
2022-01-14,102.67198944091797,169.6699981689453,446.2467041015625,43099.69921875
2022-01-18,102.0495834350586,169.38999938964844,438.3438415527344,42375.6328125
2022-01-19,102.26925659179688,172.0800018310547,433.792236328125,41744.328125
2022-01-20,102.32415771484375,171.64999389648438,428.99102783203125,40680.41796875
2022-01-21,102.7269058227539,171.08999633789062,420.5696716308594,36457.31640625
2022-01-24,102.60790252685547,172.02999877929688,422.35565185546875,36654.328125
2022-01-25,102.50721740722656,172.5800018310547,417.19921875,36954.00390625
2022-01-26,101.93057250976562,169.7899932861328,416.15252685546875,36852.12109375
2022-01-27,102.26925659179688,167.60000610351562,414.0975646972656,37138.234375
2022-01-28,102.34246826171875,167.10000610351562,424.3818054199219,37784.33203125
2022-01-31,102.33332824707031,168.08999633789062,432.0254211425781,38483.125
2022-02-01,102.29755401611328,168.22999572753906,434.944580078125,38743.2734375
2022-02-02,102.40756225585938,168.83999633789062,439.169677734375,36952.984375
2022-02-03,101.99507141113281,168.60000610351562,428.8469543457031,37154.6015625
2022-02-04,101.35343933105469,168.86000061035156,430.86346435546875,41500.875
2022-02-07,101.44507598876953,170.11000061035156,429.4807434082031,43840.28515625
2022-02-08,101.13341522216797,170.6300048828125,433.0144348144531,44118.4453125
2022-02-09,101.19758605957031,171.2100067138672,439.35211181640625,44338.796875
2022-02-10,100.26260375976562,170.55999755859375,431.4588623046875,43565.11328125
2022-02-11,100.922607421875,173.80999755859375,422.9510192871094,42407.9375
2022-02-14,100.33596801757812,174.74000549316406,421.5683288574219,42586.91796875
2022-02-15,100.17094421386719,173.0800018310547,428.3669128417969,44575.203125
2022-02-16,100.29011535644531,174.86000061035156,428.8469543457031,43961.859375
2022-02-17,100.50096130371094,177.25,419.6861877441406,40538.01171875
2022-02-18,100.71176147460938,177.1199951171875,416.96868896484375,40030.9765625
2022-02-22,100.60177612304688,177.49000549316406,412.4940185546875,38286.02734375
2022-02-23,100.1526107788086,178.2899932861328,405.1768798828125,37296.5703125
2022-02-24,100.33596801757812,177.13999938964844,411.2744140625,38332.609375
2022-02-25,100.43678283691406,176.5500030517578,420.3487854003906,39214.21875
2022-02-28,101.16089630126953,178.3800048828125,419.2733154296875,43193.234375
2022-03-01,101.73101043701172,181.6199951171875,412.8876647949219,44354.63671875
2022-03-02,100.51005554199219,179.72999572753906,420.4832458496094,43924.1171875
2022-03-03,100.84972381591797,180.8000030517578,418.3898620605469,42451.7890625
2022-03-04,101.25364685058594,183.67999267578125,414.9906005859375,39137.60546875
2022-03-07,100.66613006591797,186.41000366210938,402.75701904296875,38062.0390625
2022-03-08,100.30812072753906,191.50999450683594,399.7033996582031,38737.26953125
2022-03-09,100.09697723388672,185.82000732421875,410.4198303222656,41982.92578125
2022-03-10,99.53701782226562,186.39999389648438,408.5665283203125,39437.4609375
2022-03-11,99.51866912841797,185.08999633789062,403.37158203125,38794.97265625
2022-03-14,98.55474853515625,182.3000030517578,400.42364501953125,39666.75390625
2022-03-15,98.77507781982422,178.88999938964844,409.2291259765625,39338.78515625
2022-03-16,98.8485336303711,180.00999450683594,418.3033752441406,41143.9296875
2022-03-17,99.0137710571289,180.88999938964844,423.5367431640625,40951.37890625
2022-03-18,99.23406982421875,179.3000030517578,428.1756896972656,41801.15625
